Ccode,Nation,Christianity,Judaism,Islam,Buddhism,Zoroastrian,Hindu,Sikh,Shinto,Bahai,Taoism,Jain,Confucianism,Syncretic,Animist,Non,Other,Major
350,GRC,0.972385714,0.000607143,0.016585714,0,0,0,0,0,7.14E-06,0,0,0,0,1.43E-05,0.008364286,0.002014286,Christianity
352,CYP,0.754972727,0.000127273,0.197890909,0,0,0,0,0,0.0004,0,0,0,0,0,0.024145455,0.022454545,Christianity
355,BUL,0.780407143,0.001114286,0.118271429,0,0,0,0,0,2.14E-05,0,0,0,0,0,0.097178571,0.003,Christianity
359,MLD,0.89495,0.007425,0.015025,0,0,0,0,0,5.00E-05,0,0,0,0,0.0004,0.077325,0.004875,Christianity
360,ROM,0.936328571,0.004135714,0.007421429,0,0,0,0,0,1.43E-05,0,0,0,0,0,0.050028571,0.002107143,Christianity
365,RUS,0.3897,0.012235714,0.126535714,0.0044,0,0,0,0,1.43E-05,0,0,0,0,0.003642857,0.446928571,0.016528571,Non
366,EST,0.32435,0.001625,0.0017,0.000675,0,0.000225,0,0,0.0001,5.00E-05,0,0,2.50E-05,0.00175,0.59905,0.070425,Non
367,LAT,0.61285,0.003,0.0007,2.50E-05,0,0.000175,0,0,0,0,0,0,0,2.50E-05,0.37725,0.00595,Christianity
368,LIT,0.8481,0.001625,0.0011,0.0001,0,7.50E-05,0,0,2.50E-05,0,0,0,0,0.00015,0.138325,0.010475,Christianity
369,UKR,0.821175,0.00305,0.011125,0.0006,0,2.50E-05,5.00E-05,0,0,0,0,0,0,0.000275,0.16295,0.000775,Christianity
370,BLR,0.5876,0.002375,0.0017,5.00E-05,0,0,0,0,0,0,0,0,0,0,0.4004,0.007875,Christianity
371,ARM,0.9364,0.0002,0.00075,2.50E-05,0,0,0,0,0.000125,0,0,0,0.009075,0,0.051975,0.001425,Christianity
372,GRG,0.84665,0.003,0.099425,0,0,0,0,0,7.50E-05,0,0,0,0,0.001875,0.04545,0.003525,Christianity
373,AZE,0.0302,0.0017,0.9275,0,0,0,0,0,5.00E-05,0,0,0,0,0,0.03615,0.0044,Islam
375,FIN,0.9086,0.000292857,0.001328571,0.000235714,0,0,0,0,0.000357143,0,0,0,0.000142857,0,0.081128571,0.007885714,Christianity
380,SWD,0.914892857,0.001964286,0.013421429,0.000928571,7.14E-06,9.29E-05,7.14E-06,0,0.00015,0,0,0,0,0,0.065385714,0.003142857,Christianity
385,NOR,0.922592857,0.000221429,0.004685714,0.002764286,0,0.000135714,7.86E-05,0,0.000278571,0,0,0,2.86E-05,2.86E-05,0.058764286,0.010407143,Christianity
390,DEN,0.934142857,0.001292857,0.011078571,0.000778571,0,0.000128571,0,0,0.000114286,0,0,0,0,7.14E-06,0.040657143,0.0118,Christianity
395,ICE,0.9701,0,0.000542857,0.0005,0,0.000271429,0,0,0.001071429,0,0,0,0,0.000985714,0.015864286,0.010685714,Christianity
402,CAP,0.9634375,2.50E-05,0.0165375,0,0,0,0,0,0.000625,0,0,0,0,0.0070375,0.010075,0.0022625,Christianity
403,STP,0.9428,0,0.003075,0,0,0,0,0,0.0162125,0,0,0,0,0.0124,0.010225,0.0152875,Christianity
404,GNB,0.1203,0,0.3586,0,0,0,0,0,0.000175,0,0,0,0,0.5081125,0.010325,0.0025,Animist
411,EQG,0.887744444,0,0.0226,0,0,0.000266667,0,0,0.004222222,0,0,0,0,0.046922222,0.031433333,0.0068,Christianity
420,GAM,0.03623,0,0.86467,0,0,0.00021,0,0,0.00757,0,0,0,0,0.08044,0.00543,0.00545,Islam
432,MLI,0.021345455,0,0.865145455,0,0,0,0,0,0.0001,0,0,0,0,0.108790909,0.001009091,0.003627273,Islam
433,SEN,0.046172727,0,0.862754545,0.0001,0,0,0,0,0.001127273,0,0,0,0,0.074954545,0.007918182,0.007,Islam
434,BEN,0.277209091,0,0.170490909,0,0,7.27E-05,0,0,0.001272727,0,0,0,0,0.535172727,0.008927273,0.006863636,Animist
435,MAA,0.004345455,0,0.980972727,0,0,0,0,0,0.0001,0,0,0,0,0.005254545,0.0008,0.008554545,Islam
436,NIR,0.013672727,0,0.868772727,0,0,0,0.000136364,0,0.000245455,0,0,0,0,0.114218182,0.000681818,0.002263636,Islam
437,CDI,0.273663636,0,0.303309091,0.000290909,0,0.000227273,0,0,0.001081818,0,0,0,0,0.411427273,0.004581818,0.005409091,Animist
438,GUI,0.036427273,0,0.6723,0.000527273,0,0,0,0,0,0,0,0,0,0.2842,0.0015,0.005018182,Islam
439,BFO,0.146027273,0,0.438418182,0,0,0,0,0,0.000109091,0,0,0,0,0.409763636,0.002636364,0.003036364,Islam
450,LBR,0.339978571,0,0.149507143,0,0,0,0,0,0.0021,0,0,0,0,0.491985714,0.007842857,0.008607143,Animist
451,SIE,0.1203,0,0.47338,0,0,0.00052,0,0,0.00104,0,0,0,0,0.39487,0.00696,0.00292,Islam
452,GHA,0.546336364,0,0.1611,0,0,0.000136364,0,0,0.000627273,0,0,0,0,0.2645,0.015481818,0.011790909,Christianity
461,TOG,0.374381818,0,0.141809091,0,0,0,0,0,0.002818182,0,0,0,0,0.475981818,0.001381818,0.003618182,Animist
471,CAO,0.4561,0,0.193063636,0,0,0,0,0,0.003654545,0,0,0,0,0.336127273,0.003081818,0.007945455,Christianity
475,NIG,0.422954545,0,0.4519,2.73E-05,0,0,0,0,0.000218182,0,0,0,0,0.116963636,0.002318182,0.005581818,Islam
481,GAB,0.761781818,0,0.050272727,0,0,0,0,0,0.000381818,0,0,0,0,0.110372727,0.007009091,0.070181818,Christianity
482,CEN,0.537127273,0,0.099918182,0,0,0,0,0,0.002218182,0,0,0,0,0.321045455,0.006172727,0.033509091,Christianity
483,CHA,0.276854545,0,0.506618182,8.18E-05,0,0,0,0,0.003509091,0,0,0,8.18E-05,0.206,0.000881818,0.006,Islam
484,CON,0.875109091,0,0.010345455,0,0,0,0,0,0.004027273,0,0,0,6.36E-05,0.065663636,0.023627273,0.021118182,Christianity
490,DRC,0.905963636,0,0.013209091,5.45E-05,0,0.000827273,0,0,0.005245455,0,0,0,0,0.065563636,0.002954545,0.006145455,Christianity
500,UGA,0.76567,0.0001,0.09508,3.00E-05,0,0.0072,0.00029,0,0.01303,0,0.0001,0,3.00E-05,0.10833,0.00343,0.00675,Christianity
501,KEN,0.72653,8.00E-05,0.06959,0,0,0.00487,0.00102,0,0.00935,0,0.0022,0,0,0.1801,0.00095,0.00524,Christianity
510,TAZ,0.44289,0,0.32332,0.00014,0,0.00509,0.00025,0,0.00334,0,0.00014,0,0.00058,0.21322,0.00348,0.0075,Christianity
516,BUI,0.83052,0,0.01652,0,0,0.00061,0,0,0.00065,0,0,0,0,0.13953,0.00079,0.01136,Christianity
517,RWA,0.75863,0,0.07198,0,0,0.00046,0,0,0.00174,0,0,0,0,0.14936,0.00105,0.01678,Christianity
520,SOM,0.001145455,0,0.993563636,0,0,0.000309091,0,0,0.000190909,0,0,0,0,0.000536364,0.0007,0.003554545,Islam
522,DJI,0.031985714,0,0.953371429,0,0,0.000442857,0,0,0.000628571,0,0,0,0,0,0.011114286,0.002457143,Islam
530,ETH,0.536814286,0.000714286,0.320314286,0,0,0.0001,0,0,0.000228571,0,0,0,0,0.13835,0.00055,0.002978571,Christianity
531,ERI,0.4953,0,0.479375,0,0,0.0002,0,0,0.0003,0,0,0,0,0.007425,0.015275,0.002175,Christianity
540,ANG,0.892975,0,0.00875,0.0001,0,0,0,0,0.0001,0,0,0,0,0.077775,0.010075,0.0102375,Christianity
541,MZM,0.4099,0,0.1796375,2.50E-05,0,0.0012375,0,0,0.0001125,0,0,0,7.50E-05,0.397325,0.0041375,0.0075,Christianity
551,ZAM,0.75694,0.00013,0.00581,0.00025,0,0.00228,0,0,0.00925,0,0,0,0.00034,0.21215,0.00229,0.01053,Christianity
552,ZIM,0.65047,0.00096,0.00871,2.00E-05,0,0.0011,0,0,0.00227,0,0,0,0,0.30841,0.00925,0.01875,Christianity
553,MAW,0.64445,0,0.16686,0,0,0.00167,2.00E-05,0,0.00205,0,0,0,0,0.16857,0.00227,0.01402,Christianity
560,SAF,0.745414286,0.004335714,0.012,0.000892857,0,0.016028571,0.000171429,0,0.000371429,0,0,0.000107143,0.00025,0.189,0.028207143,0.0032,Christianity
565,NAM,0.88452,0.0007,0.00376,0,0,0.00066,0,0,0.00312,0,0,0,0,0.0872,0.01558,0.00442,Christianity
570,LES,0.892688889,0,0.000544444,0,0,0.0004,0,0,0.006788889,0,0,0,0,0.092644444,0.002066667,0.004866667,Christianity
571,BOT,0.533944444,0.000155556,0.009277778,0.000188889,0,0.001022222,8.89E-05,0,0.0046,0,0,0,0.000166667,0.436822222,0.006566667,0.007188889,Christianity
572,SWA,0.787288889,0,0.003022222,0,0,0.001177778,0,0,0.007088889,0,0,0,0,0.190933333,0.008177778,0.0023,Christianity
580,MAG,0.528636364,0,0.024909091,0.000236364,0,0.000290909,0,0,0.000718182,0,0,0,0.000545455,0.44,0.002445455,0.002254545,Christianity
581,COM,0.004575,0,0.980525,0,0,0,0,0,0.000925,0,0,0,0,0.0094125,0.0013125,0.0032875,Islam
590,MAS,0.337611111,0,0.165166667,0.003966667,0,0.461522222,0.001566667,0,0.008533333,0,0,0,0.006477778,0.001311111,0.011133333,0.002688889,Hindu
591,SEY,0.954971429,0,0.007242857,0.000828571,0.000257143,0.012557143,0,0,0.004042857,0.000157143,0.000242857,0,0.000685714,0.002028571,0.011871429,0.005071429,Christianity
600,MOR,0.017033333,0.0044,0.973991667,0,0,0,0,0,6.67E-05,0,0,0,0,0,0.000441667,0.004058333,Islam
615,ALG,0.00829,0.00021,0.97592,0,0,0,0,0,1.00E-05,0,0,0,0,8.00E-05,0.00354,0.01192,Islam
616,TUN,0.013683333,0.005933333,0.969483333,0,0,0,0,0,8.33E-06,0,0,0,0,0,2.50E-05,0.010858333,Islam
620,LIB,0.028315385,0,0.948107692,1.00E-04,0,2.31E-05,7.69E-06,0,7.69E-06,0,0,0,7.69E-06,0,0.000153846,0.023261538,Islam
625,SUD,0.086154545,0,0.704545455,0,0,0,0,0,9.09E-06,0,0,0,0,0.198018182,0.001681818,0.009581818,Islam
